iter	Passed	Remaining
702	826	349
703	827	348
704	828	346
705	830	345
706	831	344
707	831	343
708	833	341
709	834	340
710	835	339
711	836	338
712	837	337
713	838	336
714	839	334
715	840	333
716	841	332
717	842	331
718	843	329
719	844	328
720	846	327
721	846	326
722	847	324
723	849	323
724	850	322
725	850	321
726	851	319
727	852	318
728	853	317
729	854	315
730	855	314
731	855	313
732	856	312
733	857	310
734	858	309
735	859	308
736	860	307
737	861	305
738	862	304
739	863	303
740	864	302
741	865	300
742	865	299
743	866	298
744	867	296
745	868	295
746	869	294
747	870	293
748	870	291
749	871	290
750	872	289
751	873	287
752	873	286
753	874	285
754	875	284
755	876	282
756	877	281
757	878	280
758	879	279
759	880	277
760	880	276
761	881	275
762	882	274
763	883	272
764	884	271
765	884	270
766	885	269
767	886	267
768	887	266
769	887	265
770	888	263
771	889	262
772	890	261
773	891	260
774	892	259
775	893	257
776	894	256
777	895	255
778	895	254
779	896	252
780	897	251
781	898	250
782	899	249
783	899	247
784	900	246
785	901	245
786	902	244
787	903	242
788	903	241
789	904	240
790	905	239
791	906	238
792	907	236
793	908	235
794	909	234
795	910	233
796	911	232
797	912	231
798	913	229
799	914	228
800	915	227
801	915	226
802	916	224
803	917	223
804	918	222
805	919	221
806	920	220
807	921	218
808	922	217
809	923	216
810	923	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	930	206
818	931	205
819	932	204
820	933	203
821	934	202
822	936	201
823	937	200
824	938	199
825	939	197
826	940	196
827	941	195
828	942	194
829	942	193
830	943	191
831	944	190
832	945	189
833	946	188
834	947	187
835	948	186
836	950	185
837	951	183
838	952	182
839	953	181
840	954	180
841	955	179
842	956	178
843	957	176
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	963	169
850	964	168
851	965	167
852	966	166
853	967	165
854	968	164
855	969	163
856	970	161
857	971	160
858	972	159
859	973	158
860	974	157
861	975	156
862	976	155
863	977	153
864	978	152
865	979	151
866	980	150
867	981	149
868	982	148
869	984	147
870	985	145
871	986	144
872	987	143
873	988	142
874	989	141
875	990	140
876	991	139
877	993	137
878	994	136
879	995	135
880	996	134
881	997	133
882	998	132
883	999	131
884	1000	130
885	1001	128
886	1003	127
887	1004	126
888	1005	125
889	1006	124
890	1007	123
891	1008	122
892	1009	121
893	1011	119
894	1012	118
895	1013	117
896	1014	116
897	1015	115
898	1016	114
899	1017	113
900	1018	111
901	1019	110
902	1020	109
903	1021	108
904	1022	107
905	1023	106
906	1024	105
907	1025	103
908	1026	102
909	1027	101
910	1028	100
911	1029	99
912	1030	98
913	1031	97
914	1032	95
915	1033	94
916	1034	93
917	1035	92
